word,phonetic,meaning,example
abandon,/əˈbændən/,放弃；抛弃,Do not abandon your plan too early.
ability,/əˈbɪləti/,能力；才能,Practice improves your ability.
achieve,/əˈtʃiːv/,实现；达到,Small steps help you achieve a large goal.
active,/ˈæktɪv/,积极的；活跃的,Stay active during the day.
adapt,/əˈdæpt/,适应；改编,People can adapt to a new environment.
advice,/ədˈvaɪs/,建议,She gave me useful advice.
allow,/əˈlaʊ/,允许,The rules allow one retry.
answer,/ˈɑːnsər/,回答；答案,Check your answer carefully.
appear,/əˈpɪr/,出现；似乎,A message will appear on the screen.
balance,/ˈbæləns/,平衡,Keep a balance between work and rest.
basic,/ˈbeɪsɪk/,基本的,Start with the basic words.
because,/bɪˈkɔːz/,因为,I stayed inside because it was raining.
believe,/bɪˈliːv/,相信,Believe what you can verify.
change,/tʃeɪndʒ/,改变；变化,You can change the daily target.
choose,/tʃuːz/,选择,Choose a wordbook from the list.
complete,/kəmˈpliːt/,完成,Complete today's study session.
correct,/kəˈrekt/,正确的；纠正,The correct spelling is shown after a mistake.
decide,/dɪˈsaɪd/,决定,Decide how many words to study today.
detail,/ˈdiːteɪl/,细节,Read the detail before continuing.
device,/dɪˈvaɪs/,设备,The device stores progress on the SD card.
effort,/ˈefərt/,努力,Regular effort is more useful than cramming.
example,/ɪɡˈzæmpəl/,例子,This sentence is an example.
focus,/ˈfoʊkəs/,专注,Focus on one word at a time.
improve,/ɪmˈpruːv/,提高；改善,Daily review can improve recall.
learn,/lɜːrn/,学习,Learn a few new words every day.
memory,/ˈmeməri/,记忆,Review strengthens memory.
practice,/ˈpræktɪs/,练习,Spelling needs regular practice.
progress,/ˈprɑːɡres/,进度；进步,Your progress is saved automatically.
review,/rɪˈvjuː/,复习；回顾,Review due words before new ones.
success,/səkˈses/,成功,Consistency makes success more likely.
